filename,width,height,class,xmin,ymin,xmax,ymax
Egyptian_Mau_16.jpg,241,200,cat,141,1,213,72
yorkshire_terrier_129.jpg,300,225,dog,84,31,216,171
german_shorthaired_133.jpg,500,333,dog,105,71,319,268
Ragdoll_196.jpg,500,412,cat,78,133,268,329
Bengal_149.jpg,300,225,cat,51,1,239,141
english_setter_140.jpg,500,375,dog,145,159,333,317
Bengal_100.jpg,500,333,cat,180,19,334,181
Abyssinian_17.jpg,275,411,cat,38,92,136,192
chihuahua_18.jpg,355,500,dog,15,25,326,394
Siamese_14.jpg,500,333,cat,65,58,180,166
pomeranian_122.jpg,300,294,dog,97,74,192,184
boxer_17.jpg,400,500,dog,122,59,375,309
staffordshire_bull_terrier_109.jpg,466,500,dog,91,21,310,187
Bombay_133.jpg,360,305,cat,58,13,162,134
basset_hound_105.jpg,375,500,dog,46,15,304,366
pug_182.jpg,176,300,dog,31,28,175,134
Persian_100.jpg,500,334,cat,8,1,406,301
american_pit_bull_terrier_124.jpg,225,300,dog,46,25,194,169
British_Shorthair_110.jpg,500,333,cat,126,40,411,256
english_cocker_spaniel_161.jpg,338,500,dog,34,57,257,270
pug_160.jpg,300,225,dog,130,38,237,132
Bombay_109.jpg,292,208,cat,197,19,276,96
Russian_Blue_158.jpg,500,333,cat,248,68,440,260
British_Shorthair_18.jpg,500,332,cat,1,1,359,319
Egyptian_Mau_123.jpg,400,398,cat,185,20,270,123
pomeranian_15.jpg,500,375,dog,184,43,319,210
newfoundland_115.jpg,375,500,dog,156,250,321,397
pomeranian_18.jpg,500,375,dog,336,29,447,171
miniature_pinscher_18.jpg,294,500,dog,135,47,232,186
beagle_118.jpg,500,336,dog,188,121,253,174
beagle_116.jpg,500,334,dog,174,139,386,286
Sphynx_126.jpg,500,334,cat,80,119,244,308
Birman_125.jpg,334,500,cat,1,1,253,283
american_bulldog_18.jpg,500,374,dog,175,99,319,231
shiba_inu_175.jpg,374,500,dog,35,10,360,234
english_setter_16.jpg,500,333,dog,50,1,353,315
american_pit_bull_terrier_112.jpg,300,225,dog,92,26,224,159
keeshond_109.jpg,375,500,dog,104,78,240,250
wheaten_terrier_141.jpg,500,375,dog,321,20,474,140
Bengal_113.jpg,500,500,cat,238,21,348,137
Egyptian_Mau_101.jpg,480,360,cat,320,85,391,170
boxer_106.jpg,500,375,dog,183,56,279,143
Birman_113.jpg,500,376,cat,108,41,289,194
British_Shorthair_115.jpg,423,500,cat,47,108,362,384
pomeranian_100.jpg,500,375,dog,255,81,358,218
Bengal_11.jpg,500,336,cat,69,74,188,186
Bengal_107.jpg,500,335,cat,254,39,350,140
Siamese_117.jpg,500,333,cat,116,33,305,234
havanese_121.jpg,500,375,dog,180,1,315,124
german_shorthaired_161.jpg,500,333,dog,96,75,235,203
staffordshire_bull_terrier_124.jpg,500,375,dog,223,116,350,226
